ID,Species,Factor,Cell Type,Paper Reference,PMID
GSM2679867,Homo sapiens,ATAC,monocyte,"Park SH, et al. Type I interferons and the cytokine TNF cooperatively reprogram the macrophage epigenome to promote inflammatory activation. Nat. Immunol. ",28825701
GSM2371313,Homo sapiens,ATAC,hematopoietic cell,,0
GSM2702716,Homo sapiens,ATAC,B cell,"Jiang S, et al. The Epstein-Barr Virus Regulome in Lymphoblastoid Cells. Cell Host Microbe ",29024646
GSM2702713,Homo sapiens,ATAC,B cell,"Jiang S, et al. The Epstein-Barr Virus Regulome in Lymphoblastoid Cells. Cell Host Microbe ",29024646
GSM2714170,Homo sapiens,ATAC,foreskin fibroblast,"Hennig T, et al. HSV-1-induced disruption of transcription termination resembles a cellular stress response but selectively increases chromatin accessibility downstream of genes. PLoS Pathog. ",29579120
GSM3452726,Homo sapiens,ATAC,K-562,,0
GSM3331038,Homo sapiens,ATAC,preadipocyte,"Divoux A, et al. Differential open chromatin profile and transcriptomic signature define depot-specific human subcutaneous preadipocytes: primary outcomes. Clin Epigenetics ",30477572
GSM3331039,Homo sapiens,ATAC,preadipocyte,"Divoux A, et al. Differential open chromatin profile and transcriptomic signature define depot-specific human subcutaneous preadipocytes: primary outcomes. Clin Epigenetics ",30477572
GSM3331034,Homo sapiens,ATAC,preadipocyte,"Divoux A, et al. Differential open chromatin profile and transcriptomic signature define depot-specific human subcutaneous preadipocytes: primary outcomes. Clin Epigenetics ",30477572
GSM3331036,Homo sapiens,ATAC,preadipocyte,"Divoux A, et al. Differential open chromatin profile and transcriptomic signature define depot-specific human subcutaneous preadipocytes: primary outcomes. Clin Epigenetics ",30477572
GSM3331033,Homo sapiens,ATAC,preadipocyte,"Divoux A, et al. Differential open chromatin profile and transcriptomic signature define depot-specific human subcutaneous preadipocytes: primary outcomes. Clin Epigenetics ",30477572
GSM3320297,Homo sapiens,ATAC,blood,,0
GSM3320295,Homo sapiens,ATAC,"CD4-positive, alpha-beta T cell",,0
GSM2829008,Homo sapiens,ATAC,embryonic stem cell,"Lyu X, et al. Architectural Proteins and Pluripotency Factors Cooperate to Orchestrate the Transcriptional Response of hESCs to Temperature Stress. Mol. Cell ",30122536
GSM3391515,Homo sapiens,ATAC,surface ectodermal cell,"Pattison JM, et al. Retinoic acid and BMP4 cooperate with p63 to alter chromatin dynamics during surface epithelial commitment. Nat. Genet. ",30397335
GSM3391514,Homo sapiens,ATAC,surface ectodermal cell,"Pattison JM, et al. Retinoic acid and BMP4 cooperate with p63 to alter chromatin dynamics during surface epithelial commitment. Nat. Genet. ",30397335
GSM3391517,Homo sapiens,ATAC,surface ectodermal cell,"Pattison JM, et al. Retinoic acid and BMP4 cooperate with p63 to alter chromatin dynamics during surface epithelial commitment. Nat. Genet. ",30397335
GSM3391516,Homo sapiens,ATAC,surface ectodermal cell,"Pattison JM, et al. Retinoic acid and BMP4 cooperate with p63 to alter chromatin dynamics during surface epithelial commitment. Nat. Genet. ",30397335
GSM3057381,Homo sapiens,ATAC,GM12878,"Chen X, et al. Joint single-cell DNA accessibility and protein epitope profiling reveals environmental regulation of epigenomic heterogeneity. Nat Commun ",30389926
GSM2817576,Homo sapiens,ATAC,fibroblast,"Shan X, et al. Age Alters Chromatin Structure and Expression of SUMO Proteins under Stress Conditions in Human Adipose-Derived Stem Cells. Sci Rep ",30065345
GSM3320256,Homo sapiens,ATAC,blood,,0
GSM3320254,Homo sapiens,ATAC,blood,,0
GSM3320255,Homo sapiens,ATAC,blood,,0
GSM3320251,Homo sapiens,ATAC,"CD4-positive, alpha-beta T cell",,0
GSM3331032,Homo sapiens,ATAC,preadipocyte,"Divoux A, et al. Differential open chromatin profile and transcriptomic signature define depot-specific human subcutaneous preadipocytes: primary outcomes. Clin Epigenetics ",30477572
GSM3320344,Homo sapiens,ATAC,"CD4-positive, alpha-beta T cell",,0
GSM3320340,Homo sapiens,ATAC,"CD4-positive, alpha-beta T cell",,0
GSM3320323,Homo sapiens,ATAC,blood,,0
GSM3320328,Homo sapiens,ATAC,blood,,0
GSM3320329,Homo sapiens,ATAC,blood,,0
GSM2714162,Homo sapiens,ATAC,foreskin fibroblast,"Hennig T, et al. HSV-1-induced disruption of transcription termination resembles a cellular stress response but selectively increases chromatin accessibility downstream of genes. PLoS Pathog. ",29579120
GSM2714163,Homo sapiens,ATAC,foreskin fibroblast,"Hennig T, et al. HSV-1-induced disruption of transcription termination resembles a cellular stress response but selectively increases chromatin accessibility downstream of genes. PLoS Pathog. ",29579120
GSM2714168,Homo sapiens,ATAC,foreskin fibroblast,"Hennig T, et al. HSV-1-induced disruption of transcription termination resembles a cellular stress response but selectively increases chromatin accessibility downstream of genes. PLoS Pathog. ",29579120
GSM3320300,Homo sapiens,ATAC,"CD4-positive, alpha-beta T cell",,0
GSM3320302,Homo sapiens,ATAC,blood,,0
GSM2688936,Homo sapiens,ATAC,foreskin fibroblast,"Hennig T, et al. HSV-1-induced disruption of transcription termination resembles a cellular stress response but selectively increases chromatin accessibility downstream of genes. PLoS Pathog. ",29579120
GSM2688934,Homo sapiens,ATAC,foreskin fibroblast,"Hennig T, et al. HSV-1-induced disruption of transcription termination resembles a cellular stress response but selectively increases chromatin accessibility downstream of genes. PLoS Pathog. ",29579120
GSM3320289,Homo sapiens,ATAC,blood,,0
GSM3320283,Homo sapiens,ATAC,blood,,0
GSM3320282,Homo sapiens,ATAC,blood,,0
GSM3320343,Homo sapiens,ATAC,"CD4-positive, alpha-beta T cell",,0
GSM3320380,Homo sapiens,ATAC,"CD4-positive, alpha-beta T cell",,0
GSM3320381,Homo sapiens,ATAC,"CD4-positive, alpha-beta T cell",,0
GSM2829010,Homo sapiens,ATAC,embryonic stem cell,"Lyu X, et al. Architectural Proteins and Pluripotency Factors Cooperate to Orchestrate the Transcriptional Response of hESCs to Temperature Stress. Mol. Cell ",30122536
GSM2689786,Homo sapiens,ATAC,"decidual natural killer cell, human","Gamliel M, et al. Trained Memory of Human Uterine NK Cells Enhances Their Function in Subsequent Pregnancies. Immunity ",29768178
GSM3320357,Homo sapiens,ATAC,blood,,0
GSM3320258,Homo sapiens,ATAC,"CD4-positive, alpha-beta T cell",,0
GSM3320259,Homo sapiens,ATAC,blood,,0
GSM2688944,Homo sapiens,ATAC,foreskin fibroblast,"Hennig T, et al. HSV-1-induced disruption of transcription termination resembles a cellular stress response but selectively increases chromatin accessibility downstream of genes. PLoS Pathog. ",29579120
GSM2688941,Homo sapiens,ATAC,foreskin fibroblast,"Hennig T, et al. HSV-1-induced disruption of transcription termination resembles a cellular stress response but selectively increases chromatin accessibility downstream of genes. PLoS Pathog. ",29579120
GSM3320249,Homo sapiens,ATAC,blood,,0
GSM3320248,Homo sapiens,ATAC,blood,,0
GSM3320241,Homo sapiens,ATAC,blood,,0
GSM3320240,Homo sapiens,ATAC,blood,,0
GSM3320322,Homo sapiens,ATAC,blood,,0
GSM3320261,Homo sapiens,ATAC,"CD4-positive, alpha-beta T cell",,0
GSM3320371,Homo sapiens,ATAC,blood,,0
GSM3320358,Homo sapiens,ATAC,blood,,0
GSM3320334,Homo sapiens,ATAC,"CD4-positive, alpha-beta T cell",,0
GSM3320331,Homo sapiens,ATAC,blood,,0
GSM3320330,Homo sapiens,ATAC,blood,,0
GSM3320339,Homo sapiens,ATAC,blood,,0
GSM2564056,Homo sapiens,ATAC,forebrain,,0
GSM2564055,Homo sapiens,ATAC,forebrain,,0
GSM2564045,Homo sapiens,ATAC,forebrain,,0
GSM2564038,Homo sapiens,ATAC,forebrain,,0
GSM2564037,Homo sapiens,ATAC,forebrain,,0
GSM2471276,Homo sapiens,ATAC,dendritic cell,"ENCODE Project Consortium , et al. An integrated encyclopedia of DNA elements in the human genome. Nature 2012",22955616
GSM2471294,Homo sapiens,ATAC,dendritic cell,"ENCODE Project Consortium , et al. An integrated encyclopedia of DNA elements in the human genome. Nature 2012",22955616
GSM3137778,Homo sapiens,ATAC,A-549,"ENCODE Project Consortium , et al. An integrated encyclopedia of DNA elements in the human genome. Nature 2012",22955616
GSM2471255,Homo sapiens,ATAC,dendritic cell,"ENCODE Project Consortium , et al. An integrated encyclopedia of DNA elements in the human genome. Nature 2012",22955616
GSM3146466,Homo sapiens,ATAC,embryonic stem cell,,0
GSM3701911,Homo sapiens,ATAC,monocyte,,0
GSM2945825,Homo sapiens,ATAC,embryonic stem cell,,0
GSM3032066,Homo sapiens,ATAC,[],,0
GSM3032065,Homo sapiens,ATAC,[],,0
GSM3032064,Homo sapiens,ATAC,[],,0
GSM3020373,Homo sapiens,ATAC,chronic lymphocytic leukemia,,0
GSM3020336,Homo sapiens,ATAC,peripheral blood mononuclear cell,,0
GSM3020332,Homo sapiens,ATAC,peripheral blood mononuclear cell,,0
GSM3020327,Homo sapiens,ATAC,peripheral blood mononuclear cell,,0
GSM3020325,Homo sapiens,ATAC,chronic lymphocytic leukemia,,0
GSM3020323,Homo sapiens,ATAC,chronic lymphocytic leukemia,,0
GSM3020298,Homo sapiens,ATAC,peripheral blood mononuclear cell,,0
GSM3020280,Homo sapiens,ATAC,natural killer cell,,0
GSM3020259,Homo sapiens,ATAC,peripheral blood mononuclear cell,,0
GSM3020226,Homo sapiens,ATAC,peripheral blood mononuclear cell,,0
GSM3716514,Homo sapiens,ATAC,fat cell,,0
GSM3716513,Homo sapiens,ATAC,preadipocyte,,0
GSM3597647,Homo sapiens,ATAC,late embryo,,0
GSM3597646,Homo sapiens,ATAC,late embryo,,0
GSM3106831,Homo sapiens,ATAC,astrocyte,,0
GSM3312795,Homo sapiens,ATAC,SEM,,0
GSM3770763,Homo sapiens,ATAC,B cell,"Zumaquero E, et al. IFNγ induces epigenetic programming of human T-bet Elife ",31090539
GSM3770758,Homo sapiens,ATAC,B cell,"Zumaquero E, et al. IFNγ induces epigenetic programming of human T-bet Elife ",31090539
GSM3693107,Homo sapiens,ATAC,K-562,,0
GSM3444160,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM3444162,Homo sapiens,ATAC,keratinocyte,,0
GSM3444163,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM3770776,Homo sapiens,ATAC,K-562,"Tycko J, et al. Mitigation of off-target toxicity in CRISPR-Cas9 screens for essential non-coding elements. Nat Commun ",31492858
GSM3873133,Homo sapiens,ATAC,induced pluripotent stem cell,"Kawata M, et al. Simple and Robust Differentiation of Human Pluripotent Stem Cells toward Chondrocytes by Two Small-Molecule Compounds. Stem Cell Reports ",31402337
GSM4025770,Homo sapiens,ATAC,keratinocyte,"Mercado N, et al. IRF2 is a master regulator of human keratinocyte stem cell fate. Nat Commun ",31611556
GSM4025765,Homo sapiens,ATAC,keratinocyte,"Mercado N, et al. IRF2 is a master regulator of human keratinocyte stem cell fate. Nat Commun ",31611556
GSM4051648,Homo sapiens,ATAC,HuO9-L12,,0
GSM4191897,Homo sapiens,ATAC,neuronal stem cell,,0
GSM4191896,Homo sapiens,ATAC,neuronal stem cell,,0
GSM4191895,Homo sapiens,ATAC,neuronal stem cell,,0
GSM3231157,Homo sapiens,ATAC,monocyte,"Pacis A, et al. Gene activation precedes DNA demethylation in response to infection in human dendritic cells. Proc. Natl. Acad. Sci. U.S.A. ",30886108
GSM3321011,Homo sapiens,ATAC,lung,"Park JW, et al. Reprogramming normal human epithelial tissues to a common, lethal neuroendocrine cancer lineage. Science ",30287662
GSM3462844,Homo sapiens,ATAC,HeLa,"Oomen ME, et al. CTCF sites display cell cycle-dependent dynamics in factor binding and nucleosome positioning. Genome Res. ",30655336
GSM3067777,Homo sapiens,ATAC,aortic endothelial cell,"Krause MD, et al. Genetic variant at coronary artery disease and ischemic stroke locus 1p32.2 regulates endothelial responses to hemodynamics. Proc. Natl. Acad. Sci. U.S.A. ",30429326
GSM3067775,Homo sapiens,ATAC,aortic endothelial cell,"Krause MD, et al. Genetic variant at coronary artery disease and ischemic stroke locus 1p32.2 regulates endothelial responses to hemodynamics. Proc. Natl. Acad. Sci. U.S.A. ",30429326
GSM3067769,Homo sapiens,ATAC,aortic endothelial cell,"Krause MD, et al. Genetic variant at coronary artery disease and ischemic stroke locus 1p32.2 regulates endothelial responses to hemodynamics. Proc. Natl. Acad. Sci. U.S.A. ",30429326
GSM4399738,Homo sapiens,ATAC,prostate gland,,0
GSM4332570,Homo sapiens,ATAC,HUVEC-C,,0
GSM4332548,Homo sapiens,ATAC,HUVEC-C,,0
GSM4332560,Homo sapiens,ATAC,HUVEC-C,,0
GSM4332558,Homo sapiens,ATAC,HUVEC-C,,0
GSM4332553,Homo sapiens,ATAC,HUVEC-C,,0
GSM4332549,Homo sapiens,ATAC,HUVEC-C,,0
GSM4332572,Homo sapiens,ATAC,HUVEC-C,,0
GSM4332574,Homo sapiens,ATAC,HUVEC-C,,0
GSM4332556,Homo sapiens,ATAC,HUVEC-C,,0
GSM4332562,Homo sapiens,ATAC,HUVEC-C,,0
GSM4332575,Homo sapiens,ATAC,HUVEC-C,,0
GSM4332557,Homo sapiens,ATAC,HUVEC-C,,0
GSM4674818,Homo sapiens,ATAC,LNCaP-95,,0
GSM4767215,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4767222,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4767225,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4426262,Homo sapiens,ATAC,WA09,,0
GSM4570071,Homo sapiens,ATAC,prostate gland,,0
GSM3738858,Homo sapiens,ATAC,GM12878,,0
GSM2650673,Homo sapiens,ATAC,keratinocyte,,0
GSM4565972,Homo sapiens,ATAC,hematopoietic stem cell,,0
GSM4565974,Homo sapiens,ATAC,hematopoietic stem cell,,0
GSM4565965,Homo sapiens,ATAC,umbilical cord blood,,0
GSM4486191,Homo sapiens,ATAC,LNCaP,,0
GSM4162161,Homo sapiens,ATAC,Caco-2,,0
GSM4162164,Homo sapiens,ATAC,Caco-2,,0
GSM4162165,Homo sapiens,ATAC,Caco-2,,0
GSM4162166,Homo sapiens,ATAC,Caco-2,,0
GSM4520713,Homo sapiens,ATAC,bone marrow,,0
GSM4314811,Homo sapiens,ATAC,embryonic stem cell,,0
GSM4648801,Homo sapiens,ATAC,microglial cell,,0
GSM4648806,Homo sapiens,ATAC,microglial cell,,0
GSM4648809,Homo sapiens,ATAC,microglial cell,,0
GSM4648810,Homo sapiens,ATAC,microglial cell,,0
GSM4648811,Homo sapiens,ATAC,microglial cell,,0
GSM4648812,Homo sapiens,ATAC,microglial cell,,0
GSM4648813,Homo sapiens,ATAC,microglial cell,,0
GSM4648816,Homo sapiens,ATAC,microglial cell,,0
GSM4648817,Homo sapiens,ATAC,microglial cell,,0
GSM4648818,Homo sapiens,ATAC,microglial cell,,0
GSM4648819,Homo sapiens,ATAC,microglial cell,,0
GSM4648820,Homo sapiens,ATAC,microglial cell,,0
GSM4648821,Homo sapiens,ATAC,microglial cell,,0
GSM4837479,Homo sapiens,ATAC,germinal center B cell,,0
GSM4299096,Homo sapiens,ATAC,NCI-H1944,,0
GSM4299098,Homo sapiens,ATAC,NCI-H1944,,0
GSM4299082,Homo sapiens,ATAC,NCI-H1944,,0
GSM4299092,Homo sapiens,ATAC,NCI-H1944,,0
GSM4299107,Homo sapiens,ATAC,NCI-H1944,,0
GSM3900498,Homo sapiens,ATAC,HeLa,,0
GSM4764093,Homo sapiens,ATAC,HeLa,,0
GSM4764100,Homo sapiens,ATAC,HeLa,,0
GSM4764102,Homo sapiens,ATAC,HeLa,,0
GSM4764103,Homo sapiens,ATAC,HeLa,,0
GSM4764104,Homo sapiens,ATAC,HeLa,,0
GSM4764106,Homo sapiens,ATAC,HeLa,,0
GSM4291167,Homo sapiens,ATAC,breast cancer cell line,,0
GSM4289909,Homo sapiens,ATAC,medium spiny neuron,,0
GSM4289910,Homo sapiens,ATAC,medium spiny neuron,,0
GSM4289912,Homo sapiens,ATAC,medium spiny neuron,,0
GSM4289915,Homo sapiens,ATAC,medium spiny neuron,,0
GSM4289918,Homo sapiens,ATAC,medium spiny neuron,,0
GSM4289919,Homo sapiens,ATAC,medium spiny neuron,,0
GSM4138221,Homo sapiens,ATAC,embryonic stem cell,,0
GSM4138222,Homo sapiens,ATAC,WA09,,0
GSM4139429,Homo sapiens,ATAC,aortic endothelial cell,,0
GSM4139469,Homo sapiens,ATAC,aortic endothelial cell,,0
GSM4259632,Homo sapiens,ATAC,subcutaneous abdominal adipose tissue,,0
GSM4259633,Homo sapiens,ATAC,subcutaneous abdominal adipose tissue,,0
GSM4259634,Homo sapiens,ATAC,fat cell,,0
GSM4259635,Homo sapiens,ATAC,fat cell,,0
GSM4259645,Homo sapiens,ATAC,subcutaneous abdominal adipose tissue,,0
GSM3962425,Homo sapiens,ATAC,breast cancer,,0
GSM3813957,Homo sapiens,ATAC,lung cancer cell line,,0
GSM3630261,Homo sapiens,ATAC,embryonic stem cell,,0
GSM4904185,Homo sapiens,ATAC,HEK293,,0
GSM4904183,Homo sapiens,ATAC,HEK293,,0
GSM4904184,Homo sapiens,ATAC,HEK293,,0
GSM4904182,Homo sapiens,ATAC,HEK293,,0
GSM4904187,Homo sapiens,ATAC,HEK293,,0
GSM4904181,Homo sapiens,ATAC,HEK293,,0
GSM4904180,Homo sapiens,ATAC,HEK293,,0
GSM4542936,Homo sapiens,ATAC,HeLa,,0
GSM4542937,Homo sapiens,ATAC,HeLa,,0
GSM4542938,Homo sapiens,ATAC,HeLa,,0
GSM3632980,Homo sapiens,ATAC,LNCaP,,0
GSM3632981,Homo sapiens,ATAC,LNCaP,,0
GSM3632982,Homo sapiens,ATAC,LNCaP,,0
GSM3632985,Homo sapiens,ATAC,LNCaP,,0
GSM4801596,Homo sapiens,ATAC,liver,,0
GSM4610440,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4625592,Homo sapiens,ATAC,MCF-7,,0
GSM4625610,Homo sapiens,ATAC,MCF-7,,0
GSM3584949,Homo sapiens,ATAC,peripheral blood mononuclear cell,,0
GSM4306144,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4306142,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4306149,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4306153,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4306145,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4306152,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4306148,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4306143,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4306151,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4306140,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4306141,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM3302065,Homo sapiens,ATAC,interneuron,,0
GSM4043955,Homo sapiens,ATAC,SK-N-AS,,0
GSM4409114,Homo sapiens,ATAC,plasmacytoid dendritic cell,,0
GSM4409124,Homo sapiens,ATAC,plasmacytoid dendritic cell,,0
GSM4340223,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4340228,Homo sapiens,ATAC,neuronal stem cell,,0
GSM4340224,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4340227,Homo sapiens,ATAC,neuronal stem cell,,0
GSM4139397,Homo sapiens,ATAC,aortic endothelial cell,,0
GSM4139399,Homo sapiens,ATAC,aortic endothelial cell,,0
GSM4139412,Homo sapiens,ATAC,aortic endothelial cell,,0
GSM4139413,Homo sapiens,ATAC,aortic endothelial cell,,0
GSM4139417,Homo sapiens,ATAC,aortic endothelial cell,,0
GSM4139433,Homo sapiens,ATAC,aortic endothelial cell,,0
GSM4139460,Homo sapiens,ATAC,aortic endothelial cell,,0
GSM4139473,Homo sapiens,ATAC,aortic endothelial cell,,0
GSM4565966,Homo sapiens,ATAC,umbilical cord blood,,0
GSM3738846,Homo sapiens,ATAC,GM12878,,0
GSM3738857,Homo sapiens,ATAC,GM12878,,0
GSM3738859,Homo sapiens,ATAC,GM12878,,0
GSM3738871,Homo sapiens,ATAC,GM12878,,0
GSM3738872,Homo sapiens,ATAC,GM12878,,0
GSM4570072,Homo sapiens,ATAC,prostate gland,,0
GSM4110238,Homo sapiens,ATAC,fibroblast,,0
GSM4520712,Homo sapiens,ATAC,bone marrow,,0
GSM4674823,Homo sapiens,ATAC,prostate cancer,,0
GSM4289908,Homo sapiens,ATAC,medium spiny neuron,,0
GSM4764099,Homo sapiens,ATAC,HeLa,,0
GSM4054640,Homo sapiens,ATAC,neuron,,0
GSM3738852,Homo sapiens,ATAC,GM12878,,0
GSM3738854,Homo sapiens,ATAC,GM12878,,0
GSM3738860,Homo sapiens,ATAC,GM12878,,0
GSM3738864,Homo sapiens,ATAC,GM12878,,0
GSM3738879,Homo sapiens,ATAC,GM12878,,0
GSM4570064,Homo sapiens,ATAC,prostate gland,,0
GSM4674819,Homo sapiens,ATAC,LNCaP-95,,0
GSM4767218,Homo sapiens,ATAC,neuron,,0
GSM4767220,Homo sapiens,ATAC,neuron,,0
GSM4767223,Homo sapiens,ATAC,neuron,,0
GSM4299086,Homo sapiens,ATAC,NCI-H1944,,0
GSM4299108,Homo sapiens,ATAC,NCI-H1944,,0
GSM4299100,Homo sapiens,ATAC,NCI-H1944,,0
GSM4332567,Homo sapiens,ATAC,HUVEC-C,,0
GSM4837481,Homo sapiens,ATAC,germinal center B cell,,0
GSM4837487,Homo sapiens,ATAC,B cell,,0
GSM4156591,Homo sapiens,ATAC,GM12878,,0
GSM4156595,Homo sapiens,ATAC,K-562,,0
GSM4295137,Homo sapiens,ATAC,foreskin fibroblast,,0
GSM4295141,Homo sapiens,ATAC,foreskin fibroblast,,0
GSM4301065,Homo sapiens,ATAC,MCF-7,,0
GSM4289916,Homo sapiens,ATAC,medium spiny neuron,,0
GSM4764101,Homo sapiens,ATAC,HeLa,,0
GSM4064961,Homo sapiens,ATAC,B cell,,0
GSM3962404,Homo sapiens,ATAC,breast cancer,,0
GSM3962407,Homo sapiens,ATAC,breast cancer,,0
GSM3962412,Homo sapiens,ATAC,breast cancer,,0
GSM3962414,Homo sapiens,ATAC,breast cancer,,0
GSM3962418,Homo sapiens,ATAC,breast cancer,,0
GSM4625594,Homo sapiens,ATAC,MCF-7,,0
GSM4625587,Homo sapiens,ATAC,MCF-7,,0
GSM4625578,Homo sapiens,ATAC,MCF-7,,0
GSM3738372,Homo sapiens,ATAC,embryonic stem cell,,0
GSM3738373,Homo sapiens,ATAC,embryonic stem cell,,0
GSM3738371,Homo sapiens,ATAC,embryonic stem cell,,0
GSM4054634,Homo sapiens,ATAC,induced pluripotent stem cell,,0
GSM4054638,Homo sapiens,ATAC,neuron,,0
GSM3584961,Homo sapiens,ATAC,human immunodeficiency virus infectious disease,,0
GSM3780773,Homo sapiens,ATAC,K-562,,0
GSM3780775,Homo sapiens,ATAC,K-562,,0
GSM3780772,Homo sapiens,ATAC,K-562,,0
GSM3780768,Homo sapiens,ATAC,K-562,,0
GSM3780771,Homo sapiens,ATAC,K-562,,0
GSM3780770,Homo sapiens,ATAC,K-562,,0
GSM3780767,Homo sapiens,ATAC,K-562,,0
GSM4818345,Homo sapiens,ATAC,Hep-G2,,0
GSM4818343,Homo sapiens,ATAC,Hep-G2,,0
GSM4818346,Homo sapiens,ATAC,Hep-G2,,0
GSM4409122,Homo sapiens,ATAC,plasmacytoid dendritic cell,,0
GSM3632987,Homo sapiens,ATAC,LNCaP,,0
GSM4340221,Homo sapiens,ATAC,embryonic stem cell,,0
